"CIK","Uri","AccessionNumber","FileName","OutFile","FilingDate","ReportDate","AcceptanceDateTime","Act","Form","FileNumber","FilmNumber","Items","Core_type","Size","IsXBRL","IsInlineXBRL","PrimaryDocument","PrimaryDocDescription"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312521052547/0001193125-21-052547.txt","0001193125-21-052547","0001193125-21-052547.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312521052547/0001193125-21-052547.txt","2021-02-23","2020-12-31","2/23/2021 10:13:37 PM","34","10-K","001-06880","21666755","","XBRL","36120419","1","1","d14650d10k.htm","FORM 10-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297121000197/0000072971-21-000197.txt","0000072971-21-000197","0000072971-21-000197.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297121000197/0000072971-21-000197.txt","2021-02-23","2020-12-31","2/23/2021 9:58:04 PM","34","10-K","001-02979","21666484","","XBRL","80062313","1","1","wfc-20201231.htm","FORM 10-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085821000016/0000070858-21-000016.txt","0000070858-21-000016","0000070858-21-000016.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085821000016/0000070858-21-000016.txt","2021-02-12","2021-02-12","2/12/2021 9:26:42 PM","34","8-K","001-06523","21628012","8.01","XBRL","427617","1","1","bac-20210212.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521041571/0001193125-21-041571.txt","0001193125-21-041571","0001193125-21-041571.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521041571/0001193125-21-041571.txt","2021-02-12","2021-02-12","2/12/2021 9:18:03 PM","34","8-K","001-02979","21627702","8.01,9.01","XBRL","455312","1","1","d45079d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521035451/0001193125-21-035451.txt","0001193125-21-035451","0001193125-21-035451.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521035451/0001193125-21-035451.txt","2021-02-10","2021-02-10","2/10/2021 1:11:02 PM","34","8-K","001-02979","21609358","8.01,9.01","XBRL","371953","1","1","d58419d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521033639/0001193125-21-033639.txt","0001193125-21-033639","0001193125-21-033639.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521033639/0001193125-21-033639.txt","2021-02-09","2021-02-09","2/9/2021 3:43:33 PM","34","8-K","001-02979","21604529","8.01,9.01","XBRL","395924","1","1","d120871d8k.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000110465921010506/0001104659-21-010506.txt","0001104659-21-010506","0001104659-21-010506.txt","./www.sec.gov/Archives/edgar/data/0000036104/000110465921010506/0001104659-21-010506.txt","2021-02-02","2021-02-01","2/2/2021 11:54:04 AM","34","8-K","001-06880","21578977","3.03,5.03,8.01,9.01","XBRL","902370","1","1","tm214004d4_8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521024026/0001193125-21-024026.txt","0001193125-21-024026","0001193125-21-024026.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521024026/0001193125-21-024026.txt","2021-02-01","2021-01-28","2/1/2021 3:45:05 PM","34","8-K","001-02979","21575298","5.03,9.01","XBRL","981778","1","1","d123569d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297121000019/0000072971-21-000019.txt","0000072971-21-000019","0000072971-21-000019.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297121000019/0000072971-21-000019.txt","2021-01-29","2021-01-26","1/29/2021 9:49:16 PM","34","8-K","001-02979","21571968","5.02","XBRL","384792","1","1","wfc-20210126.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521021930/0001193125-21-021930.txt","0001193125-21-021930","0001193125-21-021930.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521021930/0001193125-21-021930.txt","2021-01-29","2021-01-29","1/29/2021 2:52:03 PM","34","8-K","001-02979","21568561","8.01,9.01","XBRL","401418","1","1","d137272d8k.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000119312521020850/0001193125-21-020850.txt","0001193125-21-020850","0001193125-21-020850.txt","./www.sec.gov/Archives/edgar/data/0000070858/000119312521020850/0001193125-21-020850.txt","2021-01-28","2021-01-28","1/28/2021 9:38:03 PM","34","8-K","001-06523","21565654","3.03,5.03,8.01,9.01","XBRL","560476","1","1","d106626d8k.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312521018893/0001193125-21-018893.txt","0001193125-21-018893","0001193125-21-018893.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312521018893/0001193125-21-018893.txt","2021-01-27","2021-01-22","1/27/2021 6:45:33 PM","34","8-K","001-06880","21558734","5.02,9.01","XBRL","258530","1","1","d32105d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521017280/0001193125-21-017280.txt","0001193125-21-017280","0001193125-21-017280.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521017280/0001193125-21-017280.txt","2021-01-26","2021-01-26","1/26/2021 3:39:04 PM","34","8-K","001-02979","21552170","8.01,9.01","XBRL","960080","1","1","d108472d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521017127/0001193125-21-017127.txt","0001193125-21-017127","0001193125-21-017127.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521017127/0001193125-21-017127.txt","2021-01-26","2021-01-25","1/26/2021 1:59:56 PM","34","8-K","001-02979","21551830","8.01,9.01","XBRL","370743","1","1","d108216d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312521014338/0001193125-21-014338.txt","0001193125-21-014338","0001193125-21-014338.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312521014338/0001193125-21-014338.txt","2021-01-22","2021-01-22","1/22/2021 3:26:03 PM","34","8-K","001-02979","21544255","5.03,9.01","XBRL","401676","1","1","d104333d8k.htm","8-K"
