"CIK","Uri","AccessionNumber","FileName","OutFile","FilingDate","ReportDate","AcceptanceDateTime","Act","Form","FileNumber","FilmNumber","Items","Core_type","Size","IsXBRL","IsInlineXBRL","PrimaryDocument","PrimaryDocDescription"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312525203752/0001193125-25-203752.txt","0001193125-25-203752","0001193125-25-203752.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312525203752/0001193125-25-203752.txt","2025-09-15","2025-09-15","9/15/2025 9:03:03 PM","34","8-K","001-02979","251314988","9.01","XBRL","584412","1","1","d78135d8k.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085825000359/0000070858-25-000359.txt","0000070858-25-000359","0000070858-25-000359.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085825000359/0000070858-25-000359.txt","2025-09-15","2025-09-12","9/15/2025 8:56:10 PM","34","8-K","001-06523","251314900","5.02","XBRL","342053","1","1","bac-20250912.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085825000350/0000070858-25-000350.txt","0000070858-25-000350","0000070858-25-000350.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085825000350/0000070858-25-000350.txt","2025-09-12","2025-09-12","9/12/2025 9:18:07 PM","34","8-K","001-06523","251312411","8.01,9.01","XBRL","382554","1","1","bac-20250912.htm","8-K"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000001961725000907/0000019617-25-000907.txt","0000019617-25-000907","0000019617-25-000907.txt","./www.sec.gov/Archives/edgar/data/0000019617/000001961725000907/0000019617-25-000907.txt","2025-09-12","2025-09-12","9/12/2025 8:32:01 PM","34","8-K","001-05805","251311900","5.03,9.01","XBRL","15884048","1","1","jpm-20250912.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367625000062/0000713676-25-000062.txt","0000713676-25-000062","0000713676-25-000062.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367625000062/0000713676-25-000062.txt","2025-09-08","2025-09-08","9/8/2025 11:26:36 AM","34","8-K","001-09718","251298556","7.01,9.01","XBRL","3132606","1","1","pnc-20250908.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312525191344/0001193125-25-191344.txt","0001193125-25-191344","0001193125-25-191344.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312525191344/0001193125-25-191344.txt","2025-08-28","2025-08-28","8/28/2025 9:09:37 PM","34","8-K","001-02979","251274613","9.01","XBRL","542285","1","1","d946085d8k.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312525180829/0001193125-25-180829.txt","0001193125-25-180829","0001193125-25-180829.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312525180829/0001193125-25-180829.txt","2025-08-14","2025-08-13","8/14/2025 8:31:45 PM","34","8-K","001-06880","251219979","1.01,9.01","XBRL","306034","1","1","d901585d8k.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000003610425000055/0000036104-25-000055.txt","0000036104-25-000055","0000036104-25-000055.txt","./www.sec.gov/Archives/edgar/data/0000036104/000003610425000055/0000036104-25-000055.txt","2025-08-07","2025-06-30","8/7/2025 8:23:39 PM","34","10-Q","001-06880","251194462","","XBRL","24857965","1","1","usb-20250630.htm","10-Q"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000001961725000615/0000019617-25-000615.txt","0000019617-25-000615","0000019617-25-000615.txt","./www.sec.gov/Archives/edgar/data/0000019617/000001961725000615/0000019617-25-000615.txt","2025-08-05","2025-06-30","8/5/2025 8:18:22 PM","34","10-Q","001-05805","251185252","","XBRL","50321066","1","1","jpm-20250630.htm","10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297125000201/0000072971-25-000201.txt","0000072971-25-000201","0000072971-25-000201.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297125000201/0000072971-25-000201.txt","2025-08-05","2025-06-30","8/5/2025 1:28:49 PM","34","10-Q","001-02979","251183217","","XBRL","50084365","1","1","wfc-20250630.htm","FORM 10-Q"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367625000060/0000713676-25-000060.txt","0000713676-25-000060","0000713676-25-000060.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367625000060/0000713676-25-000060.txt","2025-08-01","2025-06-30","8/1/2025 5:16:45 PM","34","10-Q","001-09718","251175236","","XBRL","37463564","1","1","pnc-20250630.htm","10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297125000193/0000072971-25-000193.txt","0000072971-25-000193","0000072971-25-000193.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297125000193/0000072971-25-000193.txt","2025-07-31","2025-07-29","7/31/2025 9:18:16 PM","34","8-K","001-02979","251172757","5.02,5.03,9.01","XBRL","1007583","1","1","wfc-20250729.htm","FORM 8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085825000268/0000070858-25-000268.txt","0000070858-25-000268","0000070858-25-000268.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085825000268/0000070858-25-000268.txt","2025-07-31","2025-06-30","7/31/2025 8:52:36 PM","34","10-Q","001-06523","251172397","","XBRL","51723937","1","1","bac-20250630.htm","10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312525168083/0001193125-25-168083.txt","0001193125-25-168083","0001193125-25-168083.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312525168083/0001193125-25-168083.txt","2025-07-29","2025-07-29","7/29/2025 8:55:13 PM","34","8-K","001-02979","251162527","9.01","XBRL","370607","1","1","d93259d8k.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000119312525164439/0001193125-25-164439.txt","0001193125-25-164439","0001193125-25-164439.txt","./www.sec.gov/Archives/edgar/data/0000070858/000119312525164439/0001193125-25-164439.txt","2025-07-24","2025-07-24","7/24/2025 8:30:23 PM","34","8-K","001-06523","251147375","3.03,5.03,8.01,9.01","XBRL","869917","1","1","d29097d8k.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085825000257/0000070858-25-000257.txt","0000070858-25-000257","0000070858-25-000257.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085825000257/0000070858-25-000257.txt","2025-07-23","2025-07-23","7/23/2025 8:56:47 PM","34","8-K","001-06523","251143704","8.01,9.01","XBRL","371603","1","1","bac-20250723.htm","8-K"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000119312525163423/0001193125-25-163423.txt","0001193125-25-163423","0001193125-25-163423.txt","./www.sec.gov/Archives/edgar/data/0000019617/000119312525163423/0001193125-25-163423.txt","2025-07-23","2025-07-23","7/23/2025 8:15:17 PM","34","8-K","001-05805","251143287","8.01,9.01","XBRL","275129","1","1","d204798d8k.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367625000055/0000713676-25-000055.txt","0000713676-25-000055","0000713676-25-000055.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367625000055/0000713676-25-000055.txt","2025-07-21","2025-07-17","7/21/2025 8:04:58 PM","34","8-K","001-09718","251137294","8.01,9.01","XBRL","557941","1","1","pnc-20250717.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000003610425000044/0000036104-25-000044.txt","0000036104-25-000044","0000036104-25-000044.txt","./www.sec.gov/Archives/edgar/data/0000036104/000003610425000044/0000036104-25-000044.txt","2025-07-17","2025-07-17","7/17/2025 10:49:39 AM","34","8-K","001-06880","251128787","2.02,7.01,9.01","XBRL","10944754","1","1","usb-20250717.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367625000051/0000713676-25-000051.txt","0000713676-25-000051","0000713676-25-000051.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367625000051/0000713676-25-000051.txt","2025-07-16","2025-07-16","7/16/2025 4:04:07 PM","34","8-K","001-09718","251126687","7.01,9.01","XBRL","4443628","1","1","pnc-20250716.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085825000254/0000070858-25-000254.txt","0000070858-25-000254","0000070858-25-000254.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085825000254/0000070858-25-000254.txt","2025-07-16","2025-07-16","7/16/2025 10:46:12 AM","34","8-K","001-06523","251126133","2.02,7.01,9.01","XBRL","16899368","1","1","bac-20250716.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367625000048/0000713676-25-000048.txt","0000713676-25-000048","0000713676-25-000048.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367625000048/0000713676-25-000048.txt","2025-07-16","2025-07-16","7/16/2025 10:41:47 AM","34","8-K","001-09718","251126131","2.02,9.01","XBRL","2954839","1","1","pnc-20250716.htm","8-K"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000001961725000520/0000019617-25-000520.txt","0000019617-25-000520","0000019617-25-000520.txt","./www.sec.gov/Archives/edgar/data/0000019617/000001961725000520/0000019617-25-000520.txt","2025-07-15","2025-07-15","7/15/2025 2:36:04 PM","34","8-K","001-05805","251123545","7.01,9.01","XBRL","2848537","1","1","jpm-20250715.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297125000170/0000072971-25-000170.txt","0000072971-25-000170","0000072971-25-000170.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297125000170/0000072971-25-000170.txt","2025-07-15","2025-07-15","7/15/2025 10:44:47 AM","34","8-K","001-02979","251123048","2.02,7.01,9.01","XBRL","7156666","1","1","wfc-20250715.htm","FORM 8-K"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000001961725000518/0000019617-25-000518.txt","0000019617-25-000518","0000019617-25-000518.txt","./www.sec.gov/Archives/edgar/data/0000019617/000001961725000518/0000019617-25-000518.txt","2025-07-15","2025-07-15","7/15/2025 10:30:58 AM","34","8-K","001-05805","251123036","2.02,9.01","XBRL","4004376","1","1","jpm-20250715.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000003610425000039/0000036104-25-000039.txt","0000036104-25-000039","0000036104-25-000039.txt","./www.sec.gov/Archives/edgar/data/0000036104/000003610425000039/0000036104-25-000039.txt","2025-07-02","2025-07-01","7/1/2025 10:06:23 PM","34","8-K","001-06880","251097712","8.01,9.01","XBRL","277557","1","1","usb-20250701.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085825000249/0000070858-25-000249.txt","0000070858-25-000249","0000070858-25-000249.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085825000249/0000070858-25-000249.txt","2025-07-01","2025-07-01","7/1/2025 8:47:43 PM","34","8-K","001-06523","251097083","8.01,9.01","XBRL","371136","1","1","bac-20250701.htm","8-K"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000001961725000510/0000019617-25-000510.txt","0000019617-25-000510","0000019617-25-000510.txt","./www.sec.gov/Archives/edgar/data/0000019617/000001961725000510/0000019617-25-000510.txt","2025-07-01","2025-07-01","7/1/2025 8:31:18 PM","34","8-K","001-05805","251096859","7.01,9.01","XBRL","3504623","1","1","jpm-20250701.htm","8-K"
"19617","https://www.sec.gov/Archives/edgar/data/0000019617/000001961725000509/0000019617-25-000509.txt","0000019617-25-000509","0000019617-25-000509.txt","./www.sec.gov/Archives/edgar/data/0000019617/000001961725000509/0000019617-25-000509.txt","2025-07-01","2025-07-01","7/1/2025 8:30:37 PM","34","8-K","001-05805","251096834","8.01,9.01","XBRL","302148","1","1","jpm-20250701.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312525141816/0001193125-25-141816.txt","0001193125-25-141816","0001193125-25-141816.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312525141816/0001193125-25-141816.txt","2025-06-17","2025-06-17","6/17/2025 1:20:25 PM","34","8-K","001-02979","251052081","5.03,9.01","XBRL","250018","1","1","d935473d8k.htm","8-K"
